experiment_id,date,model_file,history_file,duration_seconds,actual_epochs,best_valid_acc,final_test_accuracy,test_margin_error,final_train_loss,args
20251211_173023,2025-12-11 17:32:47,outputs\models\gcn_arxiv_20251211_173023.pth,outputs\logs\history_20251211_173023.json,144.54,381,0.7290177522735662,0.7210460259654754,0.003987239317767702,0.7453953623771667,"{'num_layers': 3, 'hidden_dim': 256, 'use_residual': True, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251211_173247,2025-12-11 17:33:56,outputs\models\gcn_arxiv_20251211_173247.pth,outputs\logs\history_20251211_173247.json,68.45,175,0.7143528306319004,0.6995864452811554,0.004075726078550989,0.8377252221107483,"{'num_layers': 3, 'hidden_dim': 256, 'use_residual': True, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251211_173356,2025-12-11 17:37:46,outputs\models\gcn_arxiv_20251211_173356.pth,outputs\logs\history_20251211_173356.json,230.47,623,0.7305614282358468,0.7189679649404358,0.0039962920320535875,0.7975884675979614,"{'num_layers': 3, 'hidden_dim': 256, 'use_residual': True, 'norm_type': 'layer', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251211_173746,2025-12-11 17:39:34,outputs\models\gcn_arxiv_20251211_173746.pth,outputs\logs\history_20251211_173746.json,107.07,274,0.7172723916909963,0.7055737300166657,0.004052135999122766,0.9351428151130676,"{'num_layers': 3, 'hidden_dim': 256, 'use_residual': True, 'norm_type': 'layer', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251211_173934,2025-12-11 17:43:11,outputs\models\gcn_arxiv_20251211_173934.pth,outputs\logs\history_20251211_173934.json,217.15,393,0.730662102755126,0.716828179330494,0.0040055032122389405,0.7356035709381104,"{'num_layers': 3, 'hidden_dim': 256, 'use_residual': True, 'norm_type': 'graph', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251211_174311,2025-12-11 17:45:25,outputs\models\gcn_arxiv_20251211_174311.pth,outputs\logs\history_20251211_174311.json,134.17,240,0.726500889291587,0.7167664547455919,0.004005767264413435,0.8506432771682739,"{'num_layers': 3, 'hidden_dim': 256, 'use_residual': True, 'norm_type': 'graph', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251211_174525,2025-12-11 17:47:29,outputs\models\gcn_arxiv_20251211_174525.pth,outputs\logs\history_20251211_174525.json,123.8,335,0.730662102755126,0.7207991276258667,0.003988320443383508,0.7489590644836426,"{'num_layers': 3, 'hidden_dim': 256, 'use_residual': False, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251211_174729,2025-12-11 17:48:28,outputs\models\gcn_arxiv_20251211_174729.pth,outputs\logs\history_20251211_174729.json,58.89,155,0.7134132017852948,0.6979816060736992,0.004081908062102542,0.8501022458076477,"{'num_layers': 3, 'hidden_dim': 256, 'use_residual': False, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251211_174828,2025-12-11 17:52:08,outputs\models\gcn_arxiv_20251211_174828.pth,outputs\logs\history_20251211_174828.json,220.68,615,0.7301587301587301,0.7207579779025987,0.003988500485048281,0.7915095090866089,"{'num_layers': 3, 'hidden_dim': 256, 'use_residual': False, 'norm_type': 'layer', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251211_175208,2025-12-11 17:53:52,outputs\models\gcn_arxiv_20251211_175208.pth,outputs\logs\history_20251211_175208.json,103.62,277,0.7172052753448103,0.7036396930230644,0.0040598474599613105,1.0341919660568237,"{'num_layers': 3, 'hidden_dim': 256, 'use_residual': False, 'norm_type': 'layer', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
